[2026/05/05 01:12:12] 139.28.218.62 "GET /" 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
[2026/05/05 01:12:13] 139.28.218.62 "GET /favicon.ico" 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
[2026/05/05 02:07:37] 45.148.10.64 "GET /.git/config" 404 "Mozilla/5.0 (Linux; Android 8.0.0; SM-J737A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.143 Mobile Safari/537.36"
[2026/05/05 02:09:16] 66.132.224.91 "GET /" 200 "-"
[2026/05/05 02:09:22] 66.132.224.91 "GET /" 200 "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
[2026/05/05 02:09:23] 66.132.224.91 "GET /favicon.ico" 200 "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
[2026/05/05 02:09:30] 66.132.224.91 "GET /.well-known/security.txt" 404 "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
[2026/05/05 03:09:42] 216.73.216.27 "GET /robots.txt" 404 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Claude-SearchBot/1.0; +searchbot@anthropic.com)"
[2026/05/05 04:22:51] 43.135.134.127 "GET /" 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
[2026/05/05 04:22:58] 216.73.216.27 "GET /robots.txt" 404 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Claude-SearchBot/1.0; +searchbot@anthropic.com)"
[2026/05/05 04:31:51] 217.154.63.119 "GET /.env" 404 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36"
[2026/05/05 04:38:08] 43.165.197.116 "GET /cc" 307 "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
[2026/05/05 04:38:10] 43.165.197.116 "GET /cc/" 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
[2026/05/05 06:15:24] 216.73.216.210 "GET /robots.txt" 404 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; ClaudeBot/1.0; +claudebot@anthropic.com)"
[2026/05/05 07:05:08] 45.148.10.64 "GET /" 200 "Mozilla/5.0 (Linux; Android 6.0.1; Lenovo P1a42) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.111 Mobile Safari/537.36"
[2026/05/05 07:05:08] 45.148.10.64 "GET /" 200 "Mozilla/5.0 (X11; Linux i686; rv:28.0) Gecko/20100101 Firefox/28.0"
